tamano,n_habitaciones,y
120.0,4.0,12.916666666666666
110.0,4.0,13.636363636363637
380.0,5.0,6.578947368421052
185.0,4.0,7.027027027027027
110.0,3.0,10.909090909090908
225.0,4.0,10.666666666666666
153.0,3.0,11.437908496732026
95.0,3.0,12.631578947368421
150.0,4.0,10.0
170.0,4.0,15.882352941176471
192.0,4.0,13.020833333333334
59.0,1.0,59.32203389830509
92.0,3.0,15.217391304347826
163.0,4.0,6.748466257668712
106.0,3.0,14.150943396226415
112.0,3.0,10.714285714285714
178.0,5.0,8.426966292134832
75.0,2.0,11.333333333333334
125.0,3.0,12.4
192.0,3.0,11.458333333333334
219.0,5.0,11.415525114155251
285.0,5.0,15.789473684210526
95.0,3.0,16.210526315789473
131.0,3.0,16.793893129770993
165.0,5.0,9.696969696969697
183.0,5.0,6.830601092896175
162.0,5.0,9.876543209876543
55.0,1.0,8.181818181818182
154.0,3.0,12.272727272727273
100.0,2.0,13.0
370.0,4.0,7.72972972972973
178.0,3.0,10.617977528089888
330.0,7.0,4.545454545454546
126.0,3.0,9.920634920634921
245.0,5.0,7.346938775510204
240.0,2.0,8.75
209.0,5.0,23.923444976076556
120.0,2.0,10.0
285.0,5.0,15.789473684210526
185.0,4.0,7.027027027027027
305.0,5.0,5.901639344262295
135.0,3.0,9.25925925925926
109.0,2.0,11.926605504587156
40.0,1.0,15.0
135.0,3.0,9.62962962962963
100.0,2.0,13.0
100.0,2.0,13.0
120.0,4.0,7.083333333333333
60.0,2.0,16.0
110.0,3.0,10.909090909090908
100.0,3.0,12.0
85.0,2.0,14.117647058823529
136.0,3.0,11.029411764705882
85.0,2.0,14.117647058823529
70.0,1.0,15.714285714285714
110.0,3.0,5.7272727272727275
98.0,1.0,15.306122448979592
180.0,4.0,7.222222222222222
92.0,3.0,10.869565217391305
210.0,4.0,7.619047619047619
247.0,5.0,6.882591093117409
544.0,5.0,7.169117647058823
170.0,3.0,17.058823529411764
165.0,5.0,9.696969696969697
159.0,4.0,10.377358490566039
120.0,4.0,10.833333333333334
111.0,3.0,11.711711711711711
130.0,4.0,8.461538461538462
80.0,2.0,25.0
153.0,5.0,7.189542483660131
171.0,4.0,5.847953216374269
115.0,3.0,10.434782608695652
354.0,6.0,9.887005649717514
288.0,3.0,4.166666666666667
154.0,3.0,7.142857142857143
156.0,3.0,12.820512820512821
245.0,5.0,7.346938775510204
150.0,5.0,8.0
120.0,4.0,8.333333333333334
110.0,3.0,10.909090909090908
38.0,1.0,11.842105263157896
49.0,1.0,12.244897959183673
80.0,2.0,13.75
80.0,2.0,11.25
100.0,3.0,7.5
95.0,4.0,10.526315789473685
57.0,1.0,12.719298245614034
125.0,3.0,7.8
150.0,3.0,4.333333333333333
35.0,1.0,20.0
369.0,5.0,5.420054200542006
108.0,3.0,8.333333333333334
100.0,3.0,6.8
124.0,3.0,7.741935483870968
95.0,3.0,6.526315789473684
63.0,2.0,9.523809523809524
60.0,2.0,12.333333333333334
55.0,1.0,14.545454545454545
110.0,3.0,6.909090909090909
115.0,4.0,9.565217391304348
83.0,4.0,8.433734939759036
82.0,3.0,7.317073170731708
71.0,3.0,8.450704225352112
90.0,3.0,9.444444444444445
95.0,3.0,7.894736842105263
78.0,3.0,6.730769230769231
67.0,2.0,8.955223880597014
65.0,2.0,11.153846153846153
318.0,7.0,5.031446540880503
52.0,1.0,10.576923076923077
150.0,3.0,7.666666666666667
85.0,2.0,11.470588235294118
72.0,2.0,6.944444444444445
95.0,1.0,7.105263157894737
44.0,1.0,10.227272727272727
80.0,3.0,7.5
112.0,3.0,6.25
120.0,3.0,6.666666666666667
98.0,3.0,5.1020408163265305
100.0,3.0,6.5
80.0,3.0,5.25
137.0,5.0,6.569343065693431
90.0,3.0,8.333333333333334
240.0,4.0,5.833333333333333
110.0,3.0,8.636363636363637
60.0,1.0,13.333333333333334
70.0,2.0,8.571428571428571
75.0,2.0,7.466666666666667
70.0,2.0,9.285714285714286
85.0,2.0,12.941176470588236
50.0,1.0,10.5
70.0,3.0,10.714285714285714
100.0,3.0,6.8
123.0,4.0,7.723577235772358
85.0,3.0,7.0588235294117645
100.0,2.0,9.5
102.0,3.0,7.8431372549019605
100.0,2.0,7.5
55.0,2.0,8.181818181818182
85.0,2.0,8.176470588235293
70.0,2.0,7.857142857142857
75.0,3.0,7.333333333333333
80.0,4.0,9.0625
53.0,1.0,11.320754716981131
95.0,3.0,6.842105263157895
200.0,5.0,6.75
160.0,4.0,6.875
110.0,3.0,6.363636363636363
85.0,2.0,8.823529411764707
88.0,2.0,9.090909090909092
50.0,2.0,11.0
55.0,1.0,12.727272727272727
85.0,2.0,7.647058823529412
45.0,1.0,13.333333333333334
105.0,3.0,5.238095238095238
145.0,3.0,5.862068965517241
135.0,4.0,10.74074074074074
90.0,2.0,11.11111111111111
77.0,1.0,9.74025974025974
92.0,2.0,7.5
110.0,2.0,9.090909090909092
80.0,3.0,6.875
127.0,4.0,3.937007874015748
41.0,1.0,9.75609756097561
67.0,2.0,8.955223880597014
120.0,3.0,8.333333333333334
90.0,3.0,8.88888888888889
170.0,4.0,7.647058823529412
50.0,1.0,11.7
100.0,3.0,6.8
90.0,3.0,9.444444444444445
130.0,4.0,7.6923076923076925
145.0,3.0,10.344827586206897
60.0,1.0,10.416666666666666
84.0,3.0,10.714285714285714
102.0,3.0,6.862745098039215
95.0,3.0,9.473684210526315
165.0,4.0,9.090909090909092
100.0,3.0,8.5
86.0,3.0,9.883720930232558
75.0,2.0,10.666666666666666
80.0,3.0,8.5
75.0,3.0,8.0
140.0,4.0,10.714285714285714
88.0,2.0,7.954545454545454
301.0,8.0,4.983388704318937
56.0,2.0,12.5
78.0,2.0,7.628205128205129
95.0,3.0,6.578947368421052
70.0,2.0,9.285714285714286
65.0,2.0,9.23076923076923
38.0,1.0,15.526315789473685
